,episode,steps,meanepreward,meaneplen,#parallel_run
66,66,348400,-1160.0595217444911,200.0,0
67,67,353600,-1110.1447160710313,200.0,0
68,68,358800,-1049.4693831821523,200.0,0
69,69,364000,-1035.353156236747,200.0,0
70,70,369200,-1038.2067741118599,200.0,0
71,71,374400,-1091.7781207613475,200.0,0
72,72,379600,-1104.8371284538869,200.0,0
73,73,384800,-1047.6177606098242,200.0,0
74,74,390000,-1049.2466592260682,200.0,0
75,75,395200,-1012.1580026544475,200.0,0
76,76,400400,-1055.0061289786506,200.0,0
77,77,405600,-1037.5261377415152,200.0,0
78,78,410800,-1043.2889910111176,200.0,0
79,79,416000,-1008.2385190811955,200.0,0
80,80,421200,-1023.289581909308,200.0,0
81,81,426400,-1024.3548733500718,200.0,0
82,82,431600,-1019.5792257487093,200.0,0
83,83,436800,-1017.0846681986039,200.0,0
84,84,442000,-1028.8255026789102,200.0,0
85,85,447200,-990.3926629404189,200.0,0
86,86,452400,-1009.8675661487257,200.0,0
87,87,457600,-1041.3906614315183,200.0,0
88,88,462800,-1029.3677430258806,200.0,0
89,89,468000,-1017.7443895069508,200.0,0
90,90,473200,-1062.2605416407341,200.0,0
91,91,478400,-1062.9033725144802,200.0,0
92,92,483600,-1037.651340238115,200.0,0
93,93,488800,-1067.4300118865037,200.0,0
94,94,494000,-1053.3504694953635,200.0,0
95,95,499200,-1062.4082945446557,200.0,0
96,96,504400,-1075.93871882054,200.0,0
97,97,509600,-1021.4596692848843,200.0,0
98,98,514800,-1071.9034469611229,200.0,0
99,99,520000,-1070.5342882759041,200.0,0
100,100,525200,-1058.4478579428028,200.0,0
101,101,530400,-1069.4319607997418,200.0,0
102,102,535600,-1038.9785711488003,200.0,0
103,103,540800,-1048.2426817063315,200.0,0
104,104,546000,-1045.1792967807403,200.0,0
105,105,551200,-1102.423798139209,200.0,0
106,106,556400,-1091.8135411939975,200.0,0
107,107,561600,-1121.83762824824,200.0,0
108,108,566800,-1105.9608206686778,200.0,0
109,109,572000,-1125.2069579344438,200.0,0
110,110,577200,-1124.459257569461,200.0,0
111,111,582400,-1088.7089878410666,200.0,0
112,112,587600,-1113.697828806598,200.0,0
113,113,592800,-1086.5503782388055,200.0,0
114,114,598000,-1079.037971654752,200.0,0
115,115,603200,-1132.6216203930705,200.0,0
116,116,608400,-1146.3347094684182,200.0,0
117,117,613600,-1092.4021623981405,200.0,0
118,118,618800,-1137.0020454852145,200.0,0
119,119,624000,-1089.5132701650334,200.0,0
120,120,629200,-1112.0446353573234,200.0,0
121,121,634400,-1129.9822405456596,200.0,0
122,122,639600,-1145.2555945695265,200.0,0
123,123,644800,-1140.37416541099,200.0,0
124,124,650000,-1167.0252208861568,200.0,0
125,125,655200,-1186.2197928640455,200.0,0
126,126,660400,-1162.0745601824224,200.0,0
127,127,665600,-1169.9383729898582,200.0,0
128,128,670800,-1189.359391838784,200.0,0
129,129,676000,-1195.9592772957787,200.0,0
130,130,681200,-1167.4357974158484,200.0,0
131,131,686400,-1162.213148745331,200.0,0
132,132,691600,-1163.6473143579153,200.0,0
133,133,696800,-1175.504879977503,200.0,0
134,134,702000,-1157.3070436966073,200.0,0
135,135,707200,-1183.7633688784395,200.0,0
136,136,712400,-1194.9263522036533,200.0,0
137,137,717600,-1195.447673357568,200.0,0
138,138,722800,-1183.9406381347667,200.0,0
139,139,728000,-1174.3701138172469,200.0,0
140,140,733200,-1147.4754112144863,200.0,0
141,141,738400,-1153.2142779425392,200.0,0
142,142,743600,-1129.946388149921,200.0,0
143,143,748800,-1147.3170351789101,200.0,0
144,144,754000,-1180.5007177618425,200.0,0
145,145,759200,-1206.159928871014,200.0,0
146,146,764400,-1190.4634016356065,200.0,0
147,147,769600,-1195.228639539227,200.0,0
148,148,774800,-1185.811074125043,200.0,0
149,149,780000,-1215.1350465645883,200.0,0
150,150,785200,-1265.0649492334003,200.0,0
151,151,790400,-1250.3358405661556,200.0,0
152,152,795600,-1273.4069124932478,200.0,0
153,153,800800,-1297.9920277797178,200.0,0
154,154,806000,-1268.8668821052497,200.0,0
155,155,811200,-1263.2008890473032,200.0,0
156,156,816400,-1212.317080820232,200.0,0
157,157,821600,-1246.1448416941694,200.0,0
158,158,826800,-1255.5119605448926,200.0,0
159,159,832000,-1269.702808196619,200.0,0
160,160,837200,-1268.4910035216128,200.0,0
161,161,842400,-1258.6528650942873,200.0,0
162,162,847600,-1275.1076009907144,200.0,0
163,163,852800,-1210.5020707886893,200.0,0
164,164,858000,-1259.2407974051825,200.0,0
165,165,863200,-1271.8147001872965,200.0,0
166,166,868400,-1233.6792093045385,200.0,0
167,167,873600,-1263.2087984792865,200.0,0
168,168,878800,-1250.4483162949289,200.0,0
169,169,884000,-1267.3641991371774,200.0,0
170,170,889200,-1248.9345506144837,200.0,0
171,171,894400,-1232.7472449913253,200.0,0
172,172,899600,-1220.8977913888086,200.0,0
173,173,904800,-1236.1622261255995,200.0,0
174,174,910000,-1264.9892776214986,200.0,0
175,175,915200,-1254.0959935495905,200.0,0
176,176,920400,-1256.6456367409705,200.0,0
177,177,925600,-1230.0281222614203,200.0,0
178,178,930800,-1237.182664771231,200.0,0
179,179,936000,-1245.0215577089405,200.0,0
180,180,941200,-1279.0829060745928,200.0,0
181,181,946400,-1280.6507972691377,200.0,0
182,182,951600,-1275.6864221373735,200.0,0
183,183,956800,-1237.5118616090826,200.0,0
184,184,962000,-1250.1791276693484,200.0,0
185,185,967200,-1286.535435192585,200.0,0
186,186,972400,-1286.2053059296281,200.0,0
187,187,977600,-1308.486793432842,200.0,0
188,188,982800,-1284.3610497710672,200.0,0
189,189,988000,-1262.9896567486326,200.0,0
190,190,993200,-1279.4031212057112,200.0,0
191,191,998400,-1227.037908627312,200.0,0
192,192,1003600,-1272.9236802428181,200.0,0
193,193,1008800,-1285.4061033857352,200.0,0
194,194,1014000,-1213.6820106667105,200.0,0
195,195,1019200,-1260.894382127504,200.0,0
196,196,1024400,-1225.11263936985,200.0,0
197,197,1029600,-1261.2164521131697,200.0,0
198,198,1034800,-1234.2513140390981,200.0,0
199,199,1040000,-1236.816036836824,200.0,0
200,200,1045200,-1243.8424502373057,200.0,0
201,201,1050400,-1250.9194105178901,200.0,0
202,202,1055600,-1245.1063099011867,200.0,0
203,203,1060800,-1252.54923430519,200.0,0
204,204,1066000,-1254.768015203312,200.0,0
205,205,1071200,-1240.3070739701193,200.0,0
206,206,1076400,-1237.1510402367162,200.0,0
207,207,1081600,-1243.8579213484873,200.0,0
208,208,1086800,-1209.345214719462,200.0,0
209,209,1092000,-1244.5229357855173,200.0,0
210,210,1097200,-1293.3206671001042,200.0,0
211,211,1102400,-1290.6093001254824,200.0,0
212,212,1107600,-1270.0945054696556,200.0,0
213,213,1112800,-1253.8444127775904,200.0,0
214,214,1118000,-1258.1919805847517,200.0,0
215,215,1123200,-1255.1358415363734,200.0,0
216,216,1128400,-1266.5881062690937,200.0,0
217,217,1133600,-1270.7256186658924,200.0,0
218,218,1138800,-1214.862832563341,200.0,0
219,219,1144000,-1253.887448209005,200.0,0
220,220,1149200,-1268.043685168656,200.0,0
221,221,1154400,-1248.9761317042123,200.0,0
222,222,1159600,-1277.3125221434889,200.0,0
223,223,1164800,-1285.7698264575706,200.0,0
224,224,1170000,-1240.4445753203195,200.0,0
225,225,1175200,-1235.2058253367982,200.0,0
226,226,1180400,-1280.1232319642716,200.0,0
227,227,1185600,-1258.6567388841413,200.0,0
228,228,1190800,-1288.9082280618074,200.0,0
229,229,1196000,-1298.4547278540833,200.0,0
230,230,1201200,-1283.5901552864916,200.0,0
231,231,1206400,-1281.4824354117284,200.0,0
232,232,1211600,-1276.5449852146178,200.0,0
233,233,1216800,-1302.1013787141399,200.0,0
234,234,1222000,-1250.459710469877,200.0,0
235,235,1227200,-1271.917487409006,200.0,0
236,236,1232400,-1286.4098905558285,200.0,0
237,237,1237600,-1266.1975653443208,200.0,0
238,238,1242800,-1235.2192285600854,200.0,0
239,239,1248000,-1263.934272085095,200.0,0
240,240,1253200,-1255.3563917512054,200.0,0
241,241,1258400,-1235.2043363955238,200.0,0
242,242,1263600,-1275.243813148451,200.0,0
243,243,1268800,-1220.8203024955321,200.0,0
244,244,1274000,-1251.0077677082468,200.0,0
245,245,1279200,-1238.1702028810598,200.0,0
246,246,1284400,-1209.541913373078,200.0,0
247,247,1289600,-1217.4199796320775,200.0,0
248,248,1294800,-1232.767990873847,200.0,0
249,249,1300000,-1206.5842317438694,200.0,0
250,250,1305200,-1226.6851034961778,200.0,0
251,251,1310400,-1232.7014048552935,200.0,0
252,252,1315600,-1235.1519114197524,200.0,0
253,253,1320800,-1224.0225848912373,200.0,0
254,254,1326000,-1238.6822421599934,200.0,0
255,255,1331200,-1258.1823149715406,200.0,0
256,256,1336400,-1236.6419039228435,200.0,0
257,257,1341600,-1207.637186725281,200.0,0
258,258,1346800,-1211.189222084089,200.0,0
259,259,1352000,-1225.9463755247702,200.0,0
260,260,1357200,-1234.2005409631947,200.0,0
261,261,1362400,-1221.50069195833,200.0,0
262,262,1367600,-1229.7012193095322,200.0,0
263,263,1372800,-1240.6689521444484,200.0,0
264,264,1378000,-1249.007640490999,200.0,0
265,265,1383200,-1220.024290868718,200.0,0
266,266,1388400,-1232.6717035040137,200.0,0
267,267,1393600,-1252.8846664238758,200.0,0
268,268,1398800,-1240.2769881414981,200.0,0
269,269,1404000,-1260.2555573360428,200.0,0
270,270,1409200,-1241.9969278315918,200.0,0
271,271,1414400,-1223.3511226306803,200.0,0
272,272,1419600,-1238.497375970705,200.0,0
273,273,1424800,-1260.9425329174571,200.0,0
274,274,1430000,-1230.9082665394344,200.0,0
275,275,1435200,-1252.2982657393352,200.0,0
276,276,1440400,-1261.6155316134345,200.0,0
277,277,1445600,-1252.2461704957632,200.0,0
278,278,1450800,-1250.15325820909,200.0,0
279,279,1456000,-1231.0867690270384,200.0,0
280,280,1461200,-1229.8952711763277,200.0,0
281,281,1466400,-1260.477495716074,200.0,0
282,282,1471600,-1268.5422034556796,200.0,0
283,283,1476800,-1244.3047033779205,200.0,0
284,284,1482000,-1279.0657328229938,200.0,0
285,285,1487200,-1279.4306717506417,200.0,0
286,286,1492400,-1273.5984682431824,200.0,0
287,287,1497600,-1280.870480478557,200.0,0
288,288,1502800,-1251.1105808087884,200.0,0
289,289,1508000,-1297.5269352340035,200.0,0
290,290,1513200,-1268.1940783143095,200.0,0
291,291,1518400,-1267.21671263447,200.0,0
292,292,1523600,-1266.667486388433,200.0,0
293,293,1528800,-1222.3134820416303,200.0,0
294,294,1534000,-1224.1584877428877,200.0,0
295,295,1539200,-1248.698279916379,200.0,0
296,296,1544400,-1247.1298322387518,200.0,0
297,297,1549600,-1227.0681950207736,200.0,0
298,298,1554800,-1210.2238186301588,200.0,0
299,299,1560000,-1256.6118031003014,200.0,0
300,300,1565200,-1236.391587543904,200.0,0
301,301,1570400,-1265.0989743221226,200.0,0
302,302,1575600,-1289.5345208831131,200.0,0
303,303,1580800,-1293.3729279904692,200.0,0
